Category,2018,2019,2020,2021,2022,2023,2024
Beauty Tech,0.04,0.04,0.05,0.05,0.05,0.05,0.05
Cosmetics,0.37,0.37,0.29,0.33,0.39,0.44,0.45
Fragrances,0.32,0.32,0.28,0.31,0.34,0.37,0.38
Personal Care,1.22,1.22,1.21,1.28,1.35,1.42,1.47
Skin Care,0.77,0.77,0.73,0.76,0.81,0.87,0.89
