Category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Skincare,31,33.80,34.10,35.30,36.10,36.40,37,39,40,42,41,41,40
Haircare,25,24.30,24.10,23.30,22.90,22.90,22,21,21,22,22,22,21
Make-up,17,16.40,16.60,16.60,17.30,18.20,19,19,18,16,16,16,17
Perfumes,14,12.90,12.70,12.80,12.20,10.50,12,11,11,10,11,11,12
Hygiene products,13,12.60,12.50,12,11.50,12,10,10,10,10,10,10,10
