beauty manufacturers,billion (usd)
L'Oréal,44.53
Unilever,26.15
The Estée Lauder Cos.,15.20
Procter & Gamble Co.,15
LVMH Moet Hennessy Louis Vuitton,8.94
Chanel,8.32
Beiersdorf,8.14
Shiseido,6.94
Natura &Co,6.39
Coty,6
